Pattern Name,OM,Burst Length,FSN,Start Address,Data,R/W,
DC_GROSS_IDD,0,0,0,0x42,0x0,w,
,0,0,0,0x842,0x1,w,
,0,0,0,0x1042,0x2,w,
,0,0,0,0x1842,0x3,w,
,0,0,0,0x2042,0x4,w,
,0,0,0,0x2842,0x5,w,
,0,0,0,0x3042,0x6,w,
,0,0,0,0x3842,0x7,w,
,0,0,0,0x4042,0x8,w,
,0,0,0,0x4842,0x9,w,
,0,0,0,0x5042,0xA,w,
,0,0,0,0x5842,0xB,w,
,0,0,0,0x6042,0xC,w,
,0,0,0,0x6842,0xD,w,
,0,0,0,0x7042,0xE,w,
,0,0,0,0x7842,0xF,w,
,0,0,0,0x8042,0x10,w,
,0,0,0,0x8842,0x11,w,
,0,0,0,0x9042,0x12,w,
DC_GROSS_IDD,0,0,0,0x54,0x0,w,
,0,0,0,0x854,0x0,w,
,0,0,0,0x1054,0x0,w,
,0,0,0,0x1854,0x0,w,
,0,0,0,0x2054,0x0,w,
,0,0,0,0x2854,0x0,w,
,0,0,0,0x3054,0x0,w,
,0,0,0,0x3854,0x0,w,
,0,0,0,0x4054,0x0,w,
,0,0,0,0x4854,0x0,w,
,0,0,0,0x5054,0x0,w,
,0,0,0,0x5854,0x0,w,
,0,0,0,0x6054,0x0,w,
,0,0,0,0x6854,0x0,w,
,0,0,0,0x7054,0x0,w,
,0,0,0,0x7854,0x0,w,
,0,0,0,0x8054,0x0,w,
,0,0,0,0x8854,0x0,w,
,0,0,0,0x9054,0x0,w,Trig
