Pattern Name,OM,Burst Length,FSN,Start Address,Data,R/W
PLL_VCO_Freq_Band30,1,0,0,0x9008,0x1,w
,1,0,0,0x9008,0x0,w
,1,0,0,0x8901,0x60,w
,1,0,0,0x8905,0xF,w
,1,0,0,0x8906,0x3C,w
,1,0,0,0x8907,0x33,w
,1,0,0,0x8908,0x33,w
,1,0,0,0x8909,0x77,w
,1,0,0,0x890A,0x77,w
,1,0,0,0x890B,0x9,w
,1,0,0,0x890C,0x0,w
,1,0,0,0x890D,0xA,w
,1,0,0,0x9100,0xFF,w
,1,0,0,0x9101,0xEA,w
,1,0,0,0x9102,0x39,w
,1,0,0,0x9103,0x26,w
,1,0,0,0x9104,0x1,w
,1,0,0,0x9105,0x9B,w
,1,0,0,0x9106,0x22,w
,1,0,0,0x9107,0x1B,w
,1,0,0,0x9108,0x18,w
,1,0,0,0x9109,0x18,w
,1,0,0,0x910A,0x2,w
,1,0,0,0x910B,0xE9,w
,1,0,0,0x910C,0x0,w
,1,0,0,0x910D,0x19,w
,1,0,0,0x910E,0xD0,w
,1,0,0,0x910F,0x59,w
,1,0,0,0x9110,0x5A,w
,1,0,0,0x9111,0x4,w
,1,0,0,0x9112,0x11,w
,1,0,0,0x9113,0x10,w
,1,0,0,0x9114,0x0,w
,1,0,0,0x9115,0x47,w
,1,0,0,0x9116,0x5A,w
,1,0,0,0x9117,0x4B,w
,1,0,0,0x9118,0x1F,w
,1,0,0,0x9119,0x3,w
,1,0,0,0x911A,0x37,w
,1,0,0,0x911B,0x2,w
,1,0,0,0x911C,0x0,w
,1,0,0,0x911D,0x0,w
,1,0,0,0x911E,0x0,w
,1,0,0,0x911F,0x0,w
,1,0,0,0x9120,0x38,w
,1,0,0,0x9121,0x70,w
,1,0,0,0x9122,0x13,w
,1,0,0,0x9123,0x0,w
,1,0,0,0x9124,0x83,w
,1,0,0,0x9125,0x10,w
,1,0,0,0x9126,0x50,w
,1,0,0,0x9127,0x0,w
,1,0,0,0x9128,0x0,w
,1,0,0,0x9129,0x0,w
,1,0,0,0x912A,0x0,w
,1,0,0,0x912B,0x0,w
,1,0,0,0x912C,0x0,w
,1,0,0,0x912D,0x80,w
,1,0,0,0x912E,0x9,w
,1,0,0,0x912F,0x80,w
,1,0,0,0x9130,0x60,w
,1,0,0,0x9131,0x60,w
,1,0,0,0x9132,0x4,w
,1,0,0,0x9133,0x1E,w
,1,0,0,0x9134,0x7F,w
,1,0,0,0x9135,0x0,w
,1,0,0,0x9136,0x0,w
,1,0,0,0x9137,0x60,w
,1,0,0,0x9138,0x30,w
,1,0,0,0x9139,0x90,w
,1,0,0,0x913A,0x15,w
,1,0,0,0x913B,0x0,w
,1,0,0,0x913C,0x1C,w
,1,0,0,0x913D,0x0,w
,1,0,0,0x913E,0x2,w
,1,0,0,0x913F,0x19,w
,1,0,0,0x9140,0x24,w
,1,0,0,0x9141,0xC,w
,1,0,0,0x9142,0x0,w
,1,0,0,0x9143,0x0,w
,1,0,0,0x9101,0xEB,w
,1,0,0,0x9102,0x49,w
