Pattern Name,OM,Burst Length,FSN,Start Address,Data,R/W
TX_CP1_RFFE0_15_EXT_SingleReg,1,0,0,0x8100,0x0,w
,1,0,0,0x8101,0x60,w
,1,0,0,0x8102,0x20,w
,1,0,0,0x8103,0x0,w
,1,0,0,0x8104,0x0,w
,1,0,0,0x8105,0x0,w
,1,0,0,0x8106,0x0,w
,1,0,0,0x8107,0x0,w
,1,0,0,0x8108,0x0,w
,1,0,0,0x8109,0x0,w
,1,0,0,0x810A,0x0,w
,1,0,0,0x810B,0x9,w
,1,0,0,0x810C,0x0,w
,1,0,0,0x810D,0xA,w
,1,0,0,0x810E,0x0,w
,1,0,0,0x810F,0x0,w
,1,0,0,0x8110,0x0,w
,1,0,0,0x8111,0x0,w
,1,0,0,0x8112,0x0,w
,1,0,0,0x8113,0x0,w
,1,0,0,0x8114,0x0,w
,1,0,0,0x8115,0x0,w
,1,0,0,0x8116,0x0,w
,1,0,0,0x8117,0x0,w
,1,0,0,0x8118,0x0,w
,1,0,0,0x8119,0x0,w
,1,0,0,0x811A,0x0,w
,1,0,0,0x811B,0x0,w
,1,0,0,0x811C,0x0,w
,1,0,0,0x811D,0x0,w
,1,0,0,0x811E,0x0,w
,1,0,0,0x811F,0x0,w
,1,0,0,0x8120,0x7,w
,1,0,0,0x8121,0x10,w
,1,0,0,0x8122,0x18,w
,1,0,0,0x8123,0x11,w
,1,0,0,0x8124,0x5,w
,1,0,0,0x8125,0x0,w
,1,0,0,0x8126,0x0,w
,1,0,0,0x8127,0x1C,w
,1,0,0,0x8128,0x0,w
,1,0,0,0x8129,0x0,w
,1,0,0,0x812A,0x0,w
,1,0,0,0x8900,0x0,w
,1,0,0,0x8901,0x60,w
,1,0,0,0x8902,0x20,w
,1,0,0,0x8903,0x0,w
,1,0,0,0x8904,0x0,w
,1,0,0,0x8905,0x1F,w
,1,0,0,0x8906,0x3C,w
,1,0,0,0x8907,0x33,w
,1,0,0,0x8908,0x33,w
,1,0,0,0x8909,0x77,w
,1,0,0,0x890A,0x77,w
,1,0,0,0x890B,0x9,w
,1,0,0,0x890C,0x0,w
,1,0,0,0x890D,0xA,w
,1,0,0,0x890E,0x0,w
,1,0,0,0x890F,0x0,w
,1,0,0,0x8910,0x0,w
,1,0,0,0x8911,0x0,w
,1,0,0,0x8912,0x0,w
,1,0,0,0x8913,0x0,w
,1,0,0,0x8914,0x0,w
,1,0,0,0x8915,0x0,w
,1,0,0,0x8916,0x0,w
,1,0,0,0x8917,0x0,w
,1,0,0,0x8918,0x0,w
,1,0,0,0x8919,0x0,w
,1,0,0,0x891A,0x0,w
,1,0,0,0x891B,0x0,w
,1,0,0,0x891C,0x0,w
,1,0,0,0x891D,0x0,w
,1,0,0,0x891E,0x0,w
,1,0,0,0x891F,0x0,w
,1,0,0,0x8920,0x7,w
