Pattern Name,OM,Burst Length,FSN,Start Address,Data,R/W,Opcode
TX_DSA_SWEEP_REFE11,1,0,0,0x5912,0x85,w,
,1,0,0,0x590F,0x4,w,
,1,0,0,0x5914,0x20,w,
,1,0,0,0x8924,0x05,w,
,1,0,0,0x8124,0x05,w,pulse_signal(event0);Wait 1890
,1,0,0,0x8924,0x0D,w,
,1,0,0,0x8124,0x0D,w,Wait 1780
,1,0,0,0x8924,0x15,w,
,1,0,0,0x8124,0x15,w,Wait 1780
,1,0,0,0x8924,0x1D,w,
,1,0,0,0x8124,0x1D,w,Wait 1780
,1,0,0,0x8924,0x05,w,
,1,0,0,0x8124,0x05,w,
,1,0,0,0x5914,0x24,w,Wait 1670
,1,0,0,0x5914,0x28,w,Wait 1890
,1,0,0,0x5914,0x2C,w,Wait 1890
,1,0,0,0x5914,0x30,w,Wait 1890
,1,0,0,0x5914,0x33,w,Wait 1890
,1,0,0,0x5914,0x34,w,Wait 1890
,1,0,0,0x5914,0x38,w,Wait 1890
,1,0,0,0x5914,0x3C,w,Wait 1890
,1,0,0,0x5914,0x20,w,
