Pattern Name,OM,Burst Length,FSN,Start Address,Data,R/W,Opcode
TX_RFFE0_15_INT_SingleReg,1,0,0,0x8100,0x0,w,
,1,0,0,0x8101,0x60,w,
,1,0,0,0x8102,0x20,w,
,1,0,0,0x8103,0x0,w,
,1,0,0,0x8104,0x0,w,
,1,0,0,0x8105,0x0,w,
,1,0,0,0x8106,0x0,w,
,1,0,0,0x8107,0x0,w,
,1,0,0,0x8108,0x0,w,
,1,0,0,0x8109,0x0,w,
,1,0,0,0x810A,0x0,w,
,1,0,0,0x810B,0x9,w,
,1,0,0,0x810C,0x0,w,
,1,0,0,0x810D,0xA,w,
,1,0,0,0x810E,0x0,w,
,1,0,0,0x810F,0x0,w,
,1,0,0,0x8110,0x0,w,
,1,0,0,0x8111,0x0,w,
,1,0,0,0x8112,0x0,w,
,1,0,0,0x8113,0x0,w,
,1,0,0,0x8114,0x0,w,
,1,0,0,0x8115,0x0,w,
,1,0,0,0x8116,0x0,w,
,1,0,0,0x8117,0x0,w,
,1,0,0,0x8118,0x0,w,
,1,0,0,0x8119,0x0,w,
,1,0,0,0x811A,0x0,w,
,1,0,0,0x811B,0x0,w,
,1,0,0,0x811C,0x0,w,
,1,0,0,0x811D,0x0,w,
,1,0,0,0x811E,0x0,w,
,1,0,0,0x811F,0x0,w,
,1,0,0,0x8120,0x7,w,
,1,0,0,0x8121,0x10,w,
,1,0,0,0x8122,0x18,w,
,1,0,0,0x8123,0x11,w,
,1,0,0,0x8124,0x5,w,
,1,0,0,0x8125,0x0,w,
,1,0,0,0x8126,0x0,w,
,1,0,0,0x8127,0x1C,w,
,1,0,0,0x8128,0x0,w,
,1,0,0,0x8129,0x0,w,
,1,0,0,0x812A,0x0,w,
,1,0,0,0x8900,0x0,w,
,1,0,0,0x8901,0x60,w,
,1,0,0,0x8902,0x20,w,
,1,0,0,0x8903,0x0,w,
,1,0,0,0x8904,0x0,w,
,1,0,0,0x8905,0x3,w,
,1,0,0,0x8906,0x3C,w,
,1,0,0,0x8907,0x33,w,
,1,0,0,0x8908,0x33,w,
,1,0,0,0x8909,0x77,w,
,1,0,0,0x890A,0x77,w,
,1,0,0,0x890B,0x9,w,
,1,0,0,0x890C,0x0,w,
,1,0,0,0x890D,0xA,w,
,1,0,0,0x890E,0x0,w,
,1,0,0,0x890F,0x0,w,
,1,0,0,0x8910,0x0,w,
,1,0,0,0x8911,0x0,w,
,1,0,0,0x8912,0x0,w,
,1,0,0,0x8913,0x0,w,
,1,0,0,0x8914,0x0,w,
,1,0,0,0x8915,0x0,w,
,1,0,0,0x8916,0x0,w,
,1,0,0,0x8917,0x0,w,
,1,0,0,0x8918,0x0,w,
,1,0,0,0x8919,0x0,w,
,1,0,0,0x891A,0x0,w,
,1,0,0,0x891B,0x0,w,
,1,0,0,0x891C,0x0,w,
,1,0,0,0x891D,0x0,w,
,1,0,0,0x891E,0x0,w,
,1,0,0,0x891F,0x0,w,
,1,0,0,0x8920,0x7,w,
,1,0,0,0x8921,0x10,w,
,1,0,0,0x8922,0x18,w,
,1,0,0,0x8923,0x11,w,
,1,0,0,0x8924,0x5,w,
,1,0,0,0x8925,0x0,w,
,1,0,0,0x8926,0x0,w,
,1,0,0,0x8927,0x1C,w,
,1,0,0,0x8928,0x0,w,
,1,0,0,0x8929,0x0,w,
,1,0,0,0x892A,0x0,w,
,1,0,0,0x100,0x60,w,
,1,0,0,0x101,0x0,w,
,1,0,0,0x102,0x0,w,
,1,0,0,0x103,0x0,w,
,1,0,0,0x104,0x0,w,
,1,0,0,0x105,0x0,w,
,1,0,0,0x106,0x0,w,
,1,0,0,0x107,0x0,w,
,1,0,0,0x108,0x0,w,
,1,0,0,0x109,0x0,w,
,1,0,0,0x10A,0x0,w,
,1,0,0,0x10B,0x0,w,
,1,0,0,0x10C,0x0,w,
,1,0,0,0x10D,0x0,w,
,1,0,0,0x10E,0x0,w,
,1,0,0,0x10F,0x4,w,
,1,0,0,0x110,0x0,w,
,1,0,0,0x111,0x3,w,
,1,0,0,0x112,0xC5,w,
,1,0,0,0x113,0x0,w,
,1,0,0,0x114,0x20,w,
,1,0,0,0x115,0x24,w,
,1,0,0,0x116,0x94,w,
,1,0,0,0x117,0x5,w,
,1,0,0,0x118,0x7,w,
,1,0,0,0x119,0xA,w,
,1,0,0,0x11A,0xC4,w,
,1,0,0,0x11B,0xF,w,
,1,0,0,0x11C,0x0,w,
,1,0,0,0x11D,0x38,w,
,1,0,0,0x11E,0x0,w,
,1,0,0,0x11F,0x0,w,
,1,0,0,0x900,0x60,w,
,1,0,0,0x901,0x0,w,
,1,0,0,0x902,0x0,w,
,1,0,0,0x903,0x0,w,
,1,0,0,0x904,0x0,w,
,1,0,0,0x905,0x0,w,
,1,0,0,0x906,0x0,w,
,1,0,0,0x907,0x0,w,
,1,0,0,0x908,0x0,w,
,1,0,0,0x909,0x0,w,
,1,0,0,0x90A,0x0,w,
,1,0,0,0x90B,0x0,w,
,1,0,0,0x90C,0x0,w,
,1,0,0,0x90D,0x0,w,
,1,0,0,0x90E,0x0,w,
,1,0,0,0x90F,0x4,w,
,1,0,0,0x910,0x0,w,
,1,0,0,0x911,0x3,w,
,1,0,0,0x912,0xC5,w,
,1,0,0,0x913,0x0,w,
,1,0,0,0x914,0x20,w,
,1,0,0,0x915,0x24,w,
,1,0,0,0x916,0x94,w,
,1,0,0,0x917,0x5,w,
,1,0,0,0x918,0x7,w,
,1,0,0,0x919,0xA,w,
,1,0,0,0x91A,0xC4,w,
,1,0,0,0x91B,0xF,w,
,1,0,0,0x91C,0x0,w,
,1,0,0,0x91D,0x38,w,
,1,0,0,0x91E,0x0,w,
,1,0,0,0x91F,0x0,w,
,1,0,0,0x1100,0x60,w,
,1,0,0,0x1101,0x0,w,
,1,0,0,0x1102,0x0,w,
,1,0,0,0x1103,0x0,w,
,1,0,0,0x1104,0x0,w,
,1,0,0,0x1105,0x0,w,
,1,0,0,0x1106,0x0,w,
,1,0,0,0x1107,0x0,w,
,1,0,0,0x1108,0x0,w,
,1,0,0,0x1109,0x0,w,
,1,0,0,0x110A,0x0,w,
,1,0,0,0x110B,0x0,w,
,1,0,0,0x110C,0x0,w,
,1,0,0,0x110D,0x0,w,
,1,0,0,0x110E,0x0,w,
,1,0,0,0x110F,0x4,w,
,1,0,0,0x1110,0x0,w,
,1,0,0,0x1111,0x3,w,
,1,0,0,0x1112,0xC5,w,
,1,0,0,0x1113,0x0,w,
,1,0,0,0x1114,0x20,w,
,1,0,0,0x1115,0x24,w,
,1,0,0,0x1116,0x94,w,
,1,0,0,0x1117,0x5,w,
,1,0,0,0x1118,0x7,w,
,1,0,0,0x1119,0xA,w,
,1,0,0,0x111A,0xC4,w,
,1,0,0,0x111B,0xF,w,
,1,0,0,0x111C,0x0,w,
,1,0,0,0x111D,0x38,w,
,1,0,0,0x111E,0x0,w,
,1,0,0,0x111F,0x0,w,
,1,0,0,0x1900,0x60,w,
,1,0,0,0x1901,0x0,w,
,1,0,0,0x1902,0x0,w,
,1,0,0,0x1903,0x0,w,
,1,0,0,0x1904,0x0,w,
,1,0,0,0x1905,0x0,w,
,1,0,0,0x1906,0x0,w,
